timestep,susceptible,infected,recovered
0,190,10,0
1,188,12,0
2,186,14,0
3,186,14,0
4,184,16,0
5,184,16,0
6,182,18,0
7,181,19,0
8,180,20,0
9,179,21,0
10,177,23,0
11,177,23,0
12,176,24,0
13,176,24,0
14,175,25,0
15,175,25,0
16,173,27,0
17,170,30,0
18,170,30,0
19,170,30,0
20,169,31,0
21,168,32,0
22,168,32,0
23,168,32,0
24,166,34,0
25,165,35,0
26,164,36,0
27,164,36,0
28,164,36,0
29,163,37,0
30,162,38,0
31,161,39,0
32,157,43,0
33,155,45,0
34,154,46,0
35,150,50,0
36,149,51,0
37,147,53,0
38,143,57,0
39,142,58,0
40,139,61,0
41,139,61,0
42,138,62,0
43,138,62,0
44,137,63,0
45,136,64,0
46,135,65,0
47,134,66,0
48,133,67,0
49,132,68,0
50,131,69,0
51,130,70,0
52,126,74,0
53,125,75,0
54,121,79,0
55,117,83,0
56,115,85,0
57,114,86,0
58,113,87,0
59,113,77,10
60,113,75,12
61,113,73,14
62,113,73,14
63,111,73,16
64,109,75,16
65,107,75,18
66,105,76,19
67,104,76,20
68,104,75,21
69,104,73,23
70,103,74,23
71,103,73,24
72,103,73,24
73,100,75,25
74,98,77,25
75,96,77,27
76,91,79,30
77,90,80,30
78,90,80,30
79,88,81,31
80,87,81,32
81,84,84,32
82,83,85,32
83,82,84,34
84,81,84,35
85,80,84,36
86,80,84,36
87,78,86,36
88,76,87,37
89,75,87,38
90,75,86,39
91,75,82,43
92,74,81,45
93,73,81,46
94,71,79,50
95,70,79,51
96,69,78,53
97,68,75,57
98,67,75,58
99,63,76,61
100,63,76,61
101,61,77,62
102,60,78,62
103,60,77,63
104,60,76,64
105,59,76,65
106,58,76,66
107,58,75,67
108,58,74,68
109,57,74,69
110,56,74,70
111,56,70,74
112,55,70,75
113,55,66,79
114,54,63,83
115,54,61,85
116,54,60,86
117,53,60,87
118,52,61,87
119,52,61,87
120,50,63,87
121,49,64,87
122,49,62,89
123,49,60,91
124,48,59,93
125,48,57,95
126,47,57,96
127,47,57,96
128,47,57,96
129,47,56,97
130,47,56,97
131,46,57,97
132,44,56,100
133,43,55,102
134,43,53,104
135,43,48,109
136,43,47,110
137,43,47,110
138,43,45,112
139,42,45,113
140,42,42,116
141,41,42,117
142,40,42,118
143,39,42,119
144,39,41,120
145,39,41,120
146,38,40,122
147,38,38,124
148,38,37,125
149,38,37,125
150,38,37,125
151,36,38,126
152,36,37,127
153,36,35,129
154,36,34,130
155,35,34,131
156,35,33,132
157,35,32,133
158,35,28,137
159,35,28,137
160,34,27,139
161,34,26,140
162,34,26,140
163,34,26,140
164,34,25,141
165,34,24,142
166,34,24,142
167,33,25,142
168,33,24,143
169,33,23,144
170,32,24,144
171,32,23,145
172,32,23,145
173,31,23,146
174,31,23,146
175,31,23,146
176,31,22,147
177,31,21,148
178,31,21,148
179,30,20,150
180,29,20,151
181,29,20,151
182,29,20,151
183,29,19,152
184,29,19,152
185,29,18,153
186,29,18,153
187,29,18,153
188,28,19,153
189,28,19,153
190,28,18,154
191,28,16,156
192,28,15,157
193,28,15,157
194,28,15,157
195,28,15,157
196,28,15,157
197,28,15,157
198,28,14,158
199,28,14,158
200,28,13,159
201,28,12,160
202,28,11,161
203,28,11,161
204,28,11,161
205,28,10,162
206,28,10,162
207,28,10,162
208,28,10,162
209,28,10,162
210,28,8,164
211,28,8,164
212,28,8,164
213,28,8,164
214,28,7,165
215,28,7,165
216,28,7,165
217,28,7,165
218,28,7,165
219,28,6,166
220,28,6,166
221,27,7,166
222,27,7,166
223,27,7,166
224,26,8,166
225,26,8,166
226,26,7,167
227,26,7,167
228,25,8,167
229,25,7,168
230,25,7,168
231,25,7,168
232,25,6,169
233,25,6,169
234,25,6,169
235,25,6,169
236,25,6,169
237,25,6,169
238,25,5,170
239,25,4,171
240,25,4,171
241,25,4,171
242,25,4,171
243,25,4,171
244,25,4,171
245,25,4,171
246,25,4,171
247,25,3,172
248,25,3,172
249,25,3,172
250,25,3,172
251,25,3,172
252,25,3,172
253,25,3,172
254,25,3,172
255,25,3,172
256,25,3,172
257,25,3,172
258,25,3,172
259,25,3,172
260,25,3,172
261,25,3,172
262,25,3,172
263,25,3,172
264,25,3,172
265,25,3,172
266,25,3,172
267,25,3,172
268,25,3,172
269,25,3,172
270,25,3,172
271,25,3,172
272,25,3,172
273,25,3,172
274,24,4,172
275,23,5,172
276,23,5,172
277,23,5,172
278,23,5,172
279,23,5,172
280,23,4,173
281,23,4,173
282,23,4,173
283,23,3,174
284,23,3,174
285,23,3,174
286,23,3,174
287,23,2,175
288,23,2,175
289,23,2,175
290,23,2,175
291,23,2,175
292,23,2,175
293,23,2,175
294,23,2,175
295,23,2,175
296,23,2,175
297,23,2,175
298,23,2,175
299,23,2,175
300,23,2,175
301,23,2,175
302,23,2,175
303,23,2,175
304,23,2,175
305,23,2,175
306,23,2,175
307,23,2,175
308,23,2,175
309,23,2,175
310,23,2,175
311,23,2,175
312,23,2,175
313,23,2,175
314,23,2,175
315,23,2,175
316,23,2,175
317,23,2,175
318,23,2,175
319,23,2,175
320,23,2,175
321,23,2,175
322,23,2,175
323,23,2,175
324,23,2,175
325,23,2,175
326,23,2,175
327,23,2,175
328,23,2,175
329,23,2,175
330,23,2,175
331,23,2,175
332,23,2,175
333,23,1,176
334,23,0,177
