timestep,susceptible,infected,recovered
0,173,27,0
1,172,28,0
2,172,28,0
3,170,30,0
4,170,30,0
5,167,33,0
6,165,35,0
7,163,37,0
8,162,38,0
9,161,39,0
10,161,39,0
11,160,40,0
12,157,43,0
13,155,45,0
14,154,46,0
15,152,48,0
16,149,51,0
17,147,53,0
18,141,59,0
19,134,66,0
20,132,68,0
21,129,71,0
22,125,75,0
23,124,76,0
24,119,81,0
25,114,86,0
26,113,87,0
27,111,89,0
28,105,95,0
29,100,73,27
30,100,72,28
31,98,74,28
32,97,73,30
33,94,76,30
34,90,77,33
35,89,76,35
36,85,78,37
37,84,78,38
38,83,78,39
39,79,82,39
40,79,81,40
41,77,80,43
42,73,82,45
43,72,82,46
44,71,81,48
45,70,79,51
46,68,79,53
47,67,74,59
48,65,69,66
49,64,68,68
50,64,65,71
51,62,63,75
52,62,62,76
53,60,59,81
54,60,54,86
55,59,54,87
56,58,53,89
57,58,47,95
58,58,42,100
59,58,42,100
60,57,41,102
61,57,40,103
62,56,38,106
63,56,34,110
64,56,33,111
65,55,30,115
66,52,32,116
67,52,31,117
68,52,27,121
69,49,30,121
70,49,28,123
71,48,25,127
72,48,24,128
73,48,23,129
74,48,22,130
75,48,20,132
76,47,20,133
77,47,18,135
78,47,17,136
79,47,17,136
80,47,15,138
81,45,17,138
82,45,15,140
83,44,16,140
84,44,15,141
85,44,14,142
86,44,14,142
87,44,14,142
88,44,14,142
89,44,13,143
90,44,13,143
91,43,13,144
92,43,13,144
93,43,13,144
94,43,12,145
95,43,9,148
96,43,9,148
97,42,10,148
98,42,7,151
99,42,7,151
100,42,6,152
101,42,6,152
102,42,6,152
103,41,7,152
104,41,7,152
105,41,6,153
106,41,6,153
107,41,6,153
108,41,6,153
109,40,7,153
110,40,5,155
111,40,5,155
112,40,4,156
113,40,4,156
114,40,4,156
115,40,4,156
116,40,4,156
117,40,4,156
118,40,4,156
119,40,4,156
120,40,3,157
121,40,3,157
122,40,3,157
123,40,3,157
124,40,3,157
125,40,3,157
126,40,2,158
127,40,2,158
128,40,2,158
129,40,2,158
130,40,2,158
131,40,2,158
132,39,2,159
133,39,2,159
134,39,2,159
135,39,2,159
136,39,2,159
137,39,2,159
138,39,1,160
139,39,1,160
140,39,1,160
141,39,1,160
142,39,1,160
143,39,1,160
144,39,1,160
145,39,1,160
146,39,1,160
147,39,1,160
148,39,1,160
149,39,1,160
150,39,1,160
151,39,1,160
152,39,1,160
153,39,1,160
154,39,1,160
155,39,1,160
156,39,1,160
157,39,1,160
158,39,1,160
159,39,1,160
160,39,1,160
161,39,0,161
0,176,24,0
1,173,27,0
2,172,28,0
3,168,32,0
4,167,33,0
5,164,36,0
6,162,38,0
7,161,39,0
8,161,39,0
9,159,41,0
10,158,42,0
11,155,45,0
12,150,50,0
13,145,55,0
14,143,57,0
15,140,60,0
16,137,63,0
17,133,67,0
18,131,69,0
19,129,71,0
20,126,74,0
21,123,77,0
22,121,79,0
23,119,81,0
24,117,83,0
25,116,84,0
26,116,84,0
27,116,84,0
28,110,90,0
29,109,67,24
30,105,68,27
31,101,71,28
32,101,67,32
33,100,67,33
34,99,65,36
35,97,65,38
36,96,65,39
37,94,67,39
38,90,69,41
39,90,68,42
40,88,67,45
41,86,64,50
42,84,61,55
43,83,60,57
44,80,60,60
45,78,59,63
46,77,56,67
47,76,55,69
48,76,53,71
49,74,52,74
50,73,50,77
51,72,49,79
52,71,48,81
53,68,49,83
54,67,49,84
55,66,50,84
56,65,51,84
57,62,48,90
58,61,48,91
59,58,47,95
60,57,44,99
61,56,45,99
62,55,45,100
63,53,46,101
64,53,44,103
65,52,44,104
66,52,42,106
67,52,38,110
68,52,38,110
69,52,36,112
70,52,34,114
71,52,32,116
72,51,32,117
73,51,29,120
74,51,27,122
75,51,26,123
76,50,26,124
77,50,26,124
78,49,25,126
79,49,24,127
80,49,23,128
81,49,22,129
82,48,20,132
83,48,19,133
84,48,18,134
85,48,17,135
86,48,14,138
87,47,14,139
88,47,11,142
89,47,10,143
90,47,9,144
91,47,8,145
92,47,6,147
93,47,6,147
94,47,5,148
95,47,5,148
96,47,5,148
97,47,5,148
98,47,5,148
99,47,5,148
100,47,5,148
101,47,4,149
102,47,4,149
103,47,4,149
104,46,5,149
105,46,4,150
106,45,5,150
107,45,4,151
108,45,4,151
109,45,4,151
110,45,4,151
111,45,3,152
112,45,3,152
113,45,3,152
114,45,3,152
115,45,3,152
116,45,2,153
117,45,2,153
118,45,2,153
119,45,2,153
120,44,3,153
121,44,3,153
122,43,4,153
123,43,4,153
124,43,4,153
125,43,4,153
126,43,4,153
127,43,4,153
128,43,4,153
129,43,4,153
130,43,4,153
131,42,5,153
132,42,5,153
133,42,4,154
134,42,4,154
135,42,3,155
136,42,3,155
137,42,3,155
138,42,3,155
139,42,3,155
140,42,3,155
141,42,3,155
142,42,3,155
143,42,3,155
144,42,3,155
145,42,3,155
146,42,3,155
147,42,3,155
148,41,4,155
149,41,3,156
150,41,3,156
151,41,2,157
152,41,2,157
153,41,2,157
154,41,2,157
155,41,2,157
156,41,2,157
157,41,2,157
158,41,2,157
159,41,2,157
160,41,1,158
161,41,1,158
162,41,1,158
163,41,1,158
164,41,1,158
165,41,1,158
166,41,1,158
167,41,1,158
168,41,1,158
169,41,1,158
170,41,1,158
171,41,1,158
172,41,1,158
173,41,1,158
174,41,1,158
175,41,1,158
176,41,1,158
177,41,0,159
